column,dtype,non_null,example
candidate_id,object,100000,'CAND_0000001'
yoe,float64,100000,np.float64(6.9)
current_title,object,100000,'Backend Engineer'
current_industry,object,100000,'IT Services'
current_company,object,100000,'Mindtree'
current_company_size,object,100000,'10001+'
n_jobs,int64,100000,np.int64(2)
total_career_months,int64,100000,np.int64(82)
avg_tenure_months,float64,100000,np.float64(41.0)
current_tenure_months,int64,100000,np.int64(27)
n_short_stints,int64,100000,np.int64(0)
current_title_class,object,100000,'ml_adjacent'
title_core_ml,boolean,100000,np.False_
title_ml_adjacent,boolean,100000,np.True_
title_swe_generic,boolean,100000,np.False_
title_non_eng,boolean,100000,np.False_
title_research,boolean,100000,np.False_
title_cv,boolean,100000,np.False_
ml_role_months,int64,100000,np.int64(82)
applied_ml_years,float64,100000,np.float64(6.83)
n_core_ml_jobs,int64,100000,np.int64(0)
evid_strong_ir,int64,100000,np.int64(0)
evid_med_ml,int64,100000,np.int64(1)
evid_weak_hype,int64,100000,np.int64(0)
evid_eval,int64,100000,np.int64(0)
evid_deploy,int64,100000,np.int64(0)
evid_scale,int64,100000,np.int64(1)
domain_nlp_ir,int64,100000,np.int64(0)
domain_cv,int64,100000,np.int64(0)
has_retrieval_evidence,boolean,100000,np.False_
has_shipped_ranking,boolean,100000,np.False_
has_eval_evidence,boolean,100000,np.False_
has_production_evidence,boolean,100000,np.False_
domain_is_cv_primary,boolean,100000,np.False_
n_services_jobs,int64,100000,np.int64(1)
n_product_jobs,int64,100000,np.int64(0)
n_ai_product_jobs,int64,100000,np.int64(0)
n_neutral_jobs,int64,100000,np.int64(1)
product_ratio,float64,100000,np.float64(0.0)
services_ratio,float64,100000,np.float64(0.5)
ever_product,boolean,100000,np.False_
all_jobs_services,boolean,100000,np.False_
ever_services_only,boolean,100000,np.True_
current_company_class,object,100000,'services'
current_is_services,boolean,100000,np.True_
current_is_ai_product,boolean,100000,np.False_
earliest_ml_year,float64,5651,np.float64(2019.0)
has_pre_llm_ml,boolean,100000,np.True_
ai_evidence_recent_only,boolean,100000,np.False_
location_city,object,100000,'toronto'
location_tier,object,100000,'D'
location_score,float64,100000,np.float64(0.25)
is_india,boolean,100000,np.False_
willing_to_relocate,boolean,100000,np.False_
notice_period_days,int64,100000,np.int64(60)
notice_score,float64,100000,np.float64(0.8)
preferred_work_mode,object,100000,'onsite'
expected_salary_min,float64,100000,np.float64(18.7)
expected_salary_max,float64,100000,np.float64(36.1)
last_active_date,object,100000,'2026-05-20'
days_since_active,int64,100000,np.int64(7)
activity_recency_score,float64,100000,np.float64(0.971)
recruiter_response_rate,float64,100000,np.float64(0.34)
interview_completion_rate,float64,100000,np.float64(0.71)
open_to_work_flag,boolean,100000,np.True_
applications_30d,int64,100000,np.int64(2)
avg_response_time_hours,float64,100000,np.float64(177.8)
avail_modifier,float64,100000,np.float64(0.9462)
profile_completeness_score,float64,100000,np.float64(86.9)
verified_email,boolean,100000,np.True_
verified_phone,boolean,100000,np.True_
linkedin_connected,boolean,100000,np.False_
github_activity_score,float64,35363,np.float64(9.2)
has_github,boolean,100000,np.True_
certification_count,int64,100000,np.int64(0)
best_edu_tier,int64,100000,np.int64(3)
has_ml_degree,boolean,100000,np.True_
hp_expert0,boolean,100000,np.False_
hp_skilldur_gt_career,boolean,100000,np.False_
hp_tenure_gt_career,boolean,100000,np.False_
hp_sum_overlap,boolean,100000,np.False_
hp_current_enddate,boolean,100000,np.False_
hp_edu_impossible,boolean,100000,np.False_
hp_end_before_start,boolean,100000,np.False_
hp_expert_overload,boolean,100000,np.False_
hp_senior_no_history,boolean,100000,np.False_
honeypot_flag,boolean,100000,np.False_
honeypot_reasons,object,100000,''
gate_services_only,boolean,100000,np.False_
gate_research_only,boolean,100000,np.False_
gate_cv_primary,boolean,100000,np.False_
gate_recent_llm_only,boolean,100000,np.False_
gate_wrong_role_stuffer,boolean,100000,np.False_
semantic_fit,float64,0,
